id,created,gameNumber,seasonId,year,type,day_or_night,duration,duration_minutes,homeId,homeName,awayId,awayName,started,attendance,status,comment
9580bffe-22e1-4975-978b-1b13e7505193,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,D,3:08,188,c874a065-c115-4e7d-b0f0-235584fb0e6f,Reds,55714da8-fcaf-4574-8443-59bfb511a524,Cubs,2016-04-24T17:10:00Z,36220,closed,
645e6a08-afd6-4677-a5c9-01ef446b0cf3,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,D,3:08,188,c874a065-c115-4e7d-b0f0-235584fb0e6f,Reds,55714da8-fcaf-4574-8443-59bfb511a524,Cubs,2016-10-01T20:10:00Z,30970,closed,
08981bd8-d1d7-48e1-8668-9098b8f7fe90,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,,3:14,194,c874a065-c115-4e7d-b0f0-235584fb0e6f,Reds,55714da8-fcaf-4574-8443-59bfb511a524,Cubs,2016-06-29T16:35:00Z,37188,closed,
303703bb-b55f-476d-8faf-bf582169fb1d,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,D,2:55,175,d52d5339-cbdd-43f3-9dfa-a42fd588b9a3,Padres,55714da8-fcaf-4574-8443-59bfb511a524,Cubs,2016-08-24T19:40:00Z,30033,closed,
80a71b6e-051f-4dd9-a5a7-e49ad98c6b57,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:19,199,dcfd5266-00ce-442c-bc09-264cd20cf455,Brewers,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pirates,2016-07-30T23:10:00Z,36663,closed,
71ab82a4-6e07-430a-b695-1af3bc42ea61,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,D,4:17,257,d89bed32-3aee-4407-99e3-4103641b999a,Nationals,55714da8-fcaf-4574-8443-59bfb511a524,Cubs,2016-06-15T20:05:00Z,42000,closed,
d1a110c2-f6c8-4029-bcd8-2f8a01e1561c,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,D,2:58,178,dcfd5266-00ce-442c-bc09-264cd20cf455,Brewers,55714da8-fcaf-4574-8443-59bfb511a524,Cubs,2016-05-19T17:40:00Z,38781,closed,
6d111b57-fa0b-4f24-82df-ff33a26f0252,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,D,2:51,171,dcfd5266-00ce-442c-bc09-264cd20cf455,Brewers,55714da8-fcaf-4574-8443-59bfb511a524,Cubs,2016-09-05T17:10:00Z,43662,closed,
a97e9539-bbbd-4e03-bf15-f25ea2c1d923,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,D,4:08,248,dcfd5266-00ce-442c-bc09-264cd20cf455,,55714da8-fcaf-4574-8443-59bfb511a524,Cubs,2016-07-24T18:10:00Z,43310,closed,
dc0c9218-505c-4725-8c0c-40b72cca0956,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,D,2:54,174,eb21dadd-8f10-4095-8bf3-dfb3b779f107,Astros,55714da8-fcaf-4574-8443-59bfb511a524,Cubs,2016-09-10T17:05:00Z,41854,closed,
6d1670c0-d3ca-4ec2-827e-63070c2aa393,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,D,3:08,188,ef64da7f-cfaf-4300-87b0-9313386b977c,Dodgers,55714da8-fcaf-4574-8443-59bfb511a524,Cubs,2016-08-28T20:10:00Z,44745,closed,
b1e9a61f-925c-492d-a744-6c01ff805dcc,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,D,3:08,188,ef64da7f-cfaf-4300-87b0-9313386b977c,Dodgers,55714da8-fcaf-4574-8443-59bfb511a524,Cubs,2016-08-27T20:05:00Z,49522,closed,
241cf81a-4654-4e62-af87-0f756eaea76d,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,D,3:17,197,f246a5e5-afdb-479c-9aaa-c68beeda7af6,Mets,55714da8-fcaf-4574-8443-59bfb511a524,Cubs,2016-07-03T17:10:00Z,36137,closed,
a1681ab8-326a-40f5-9888-a447aff0e53e,2016-10-06T06:25:15Z,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,D,2:17,137,03556285-bdbb-4576-a06d-42f71f46ddc5,Marlins,f246a5e5-afdb-479c-9aaa-c68beeda7af6,Mets,2016-06-05T17:10:00Z,28196,closed,
