gameId,gameNumber,seasonId,year,type,dayNight,length,length_mins,homeTeamId,homeTeamName,awayTeamId,awayTeamName,startTime,attendance,status,added
d89e823f-64ab-4169-8d3d-8fdb34981ed1,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:39,159,dcfd5266-00ce-442c-bc09-264cd20cf455,Brewers,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pirates,2016-09-23T00:10:00Z,24582,closed,2016-10-06T06:25:15Z
fb1ce2d3-a6b7-4e94-8402-5f8ac6c2f921,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:51,171,dcfd5266-00ce-442c-bc09-264cd20cf455,Brewers,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pirates,2016-09-22T00:10:00Z,25482,closed,2016-10-06T06:25:15Z
b0d3b104-477d-4a3e-ad83-a53c5e84b231,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:20,200,dcfd5266-00ce-442c-bc09-264cd20cf455,Brewers,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pirates,2016-08-26T00:10:00Z,20296,closed,2016-10-06T06:25:15Z
60a2dc42-3a93-48db-ac97-d41c57a26392,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:08,188,dcfd5266-00ce-442c-bc09-264cd20cf455,Brewers,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pirates,2016-09-21T00:10:00Z,20829,closed,2016-10-06T06:25:15Z
7a39f8ab-3bab-4c11-aaa9-41530c343085,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:26,206,dcfd5266-00ce-442c-bc09-264cd20cf455,Brewers,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pirates,2016-08-27T00:10:00Z,25474,closed,2016-10-06T06:25:15Z
218d06bb-2024-427d-b24f-d7eae4097543,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:57,177,ef64da7f-cfaf-4300-87b0-9313386b977c,Dodgers,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pirates,2016-08-13T02:10:00Z,47438,closed,2016-10-06T06:25:15Z
b2ca1f59-86a0-4bdc-95c6-132939b67a75,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:55,175,f246a5e5-afdb-479c-9aaa-c68beeda7af6,Mets,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pirates,2016-06-16T23:10:00Z,33052,closed,2016-10-06T06:25:15Z
79bffe95-a51e-4339-98b7-3713069ca81a,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:06,186,f246a5e5-afdb-479c-9aaa-c68beeda7af6,Mets,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pirates,2016-06-15T23:10:00Z,32117,closed,2016-10-06T06:25:15Z
c4fe7841-562d-4904-9c6d-dfc812e08cd2,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:28,148,f246a5e5-afdb-479c-9aaa-c68beeda7af6,Mets,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Pirates,2016-06-14T23:10:00Z,35124,closed,2016-10-06T06:25:15Z
7c67d23b-ec50-4893-acf1-f872f25047aa,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:32,152,1d678440-b4b1-4954-9b39-70afb3ebbcfa,Blue Jays,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-05-04T23:07:00Z,25229,closed,2016-10-06T06:25:15Z
4864e5e0-13ef-4ae5-b9aa-42e1b4534630,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:33,153,1d678440-b4b1-4954-9b39-70afb3ebbcfa,Blue Jays,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-05-05T23:07:00Z,35468,closed,2016-10-06T06:25:15Z
b74b0b63-18ee-4b29-99df-73cb43f922d7,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:44,164,1d678440-b4b1-4954-9b39-70afb3ebbcfa,Blue Jays,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-05-02T23:07:00Z,25323,closed,2016-10-06T06:25:15Z
0e51b3f9-ecb1-494c-978e-5c60fec47f3e,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:25,205,1d678440-b4b1-4954-9b39-70afb3ebbcfa,Blue Jays,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-05-03T23:07:00Z,24437,closed,2016-10-06T06:25:15Z
e89f3918-0fbc-45aa-852f-78dc8ec34fa0,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:08,188,27a59d3b-ff7c-48ea-b016-4798f560f5e1,Athletics,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-06-15T02:05:00Z,13101,closed,2016-10-06T06:25:15Z
3e4ab8c1-cf8c-4706-9243-58f17fbfa478,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:08,188,27a59d3b-ff7c-48ea-b016-4798f560f5e1,Athletics,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-06-16T02:05:00Z,10115,closed,2016-10-06T06:25:15Z
075940f8-a43d-452d-9b58-cc8fc0c8ee30,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:45,165,27a59d3b-ff7c-48ea-b016-4798f560f5e1,Athletics,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-05-18T02:05:00Z,12718,closed,2016-10-06T06:25:15Z
3e4f1c62-cc11-43dc-a667-f14513fc995b,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:06,186,27a59d3b-ff7c-48ea-b016-4798f560f5e1,Athletics,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-06-14T02:05:00Z,13453,closed,2016-10-06T06:25:15Z
cc4c592a-d387-4114-b154-f0b18c082c8a,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:19,139,27a59d3b-ff7c-48ea-b016-4798f560f5e1,Athletics,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-09-24T01:35:00Z,26367,closed,2016-10-06T06:25:15Z
49aed28c-a6cb-40f6-a99f-cc621b727818,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:28,148,27a59d3b-ff7c-48ea-b016-4798f560f5e1,Athletics,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-05-17T02:05:00Z,10068,closed,2016-10-06T06:25:15Z
5c8086c2-cb49-4c8b-bbed-ba7e5f52150e,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:04,184,29dd9a87-5bcc-4774-80c3-7f50d985068b,Rockies,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-08-09T00:40:00Z,31768,closed,2016-10-06T06:25:15Z
c3957892-7449-467c-859c-e62739c22d61,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:44,224,43a39081-52b4-4f93-ad29-da7f329ea960,Mariners,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-09-07T02:10:00Z,14615,closed,2016-10-06T06:25:15Z
24319a14-0ad0-4fac-8d90-604608e99d90,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:22,202,43a39081-52b4-4f93-ad29-da7f329ea960,Mariners,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-09-09T02:10:00Z,17493,closed,2016-10-06T06:25:15Z
822cfa5a-c351-4539-b2f7-7c32f2a55a0d,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:30,150,43a39081-52b4-4f93-ad29-da7f329ea960,Mariners,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-09-08T02:10:00Z,15434,closed,2016-10-06T06:25:15Z
8764d391-f6f4-4191-84c2-de8a716b5790,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:13,193,43a39081-52b4-4f93-ad29-da7f329ea960,Mariners,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-06-12T02:10:00Z,36055,closed,2016-10-06T06:25:15Z
88b6f609-4ecb-4f6f-b130-9546f4ce3d7f,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:35,155,43a39081-52b4-4f93-ad29-da7f329ea960,Mariners,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-04-13T02:10:00Z,13376,closed,2016-10-06T06:25:15Z
25df459b-79cd-4cc1-a6b6-26a3bdd3faa5,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,3:00,180,43a39081-52b4-4f93-ad29-da7f329ea960,Mariners,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-04-12T02:10:00Z,13468,closed,2016-10-06T06:25:15Z
ad3b4b06-d977-4a11-9808-c012b8e6bb43,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:54,174,43a39081-52b4-4f93-ad29-da7f329ea960,Mariners,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-06-11T02:10:00Z,37055,closed,2016-10-06T06:25:15Z
5017313b-0470-4bff-8054-9ca957a7a744,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:23,143,44671792-dc02-4fdd-a5ad-f5f17edaa9d7,Cardinals,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-06-18T00:15:00Z,44064,closed,2016-10-06T06:25:15Z
69bafe22-32ea-4840-92c9-ec1a7513b064,1,565de4be-dc80-4849-a7e1-54bc79156cc8,2016,REG,N,2:41,161,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,White Sox,d99f919b-1534-4516-8e8a-9cd106c6d8cd,Rangers,2016-04-23T00:10:00Z,15486,closed,2016-10-06T06:25:15Z
